"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HFWA","Heritage Financial Corporation","27.5","$1.01B","n/a","Finance","Banks","https://old.nasdaq.com/symbol/hfwa",
"HRTG","Heritage Insurance Holdings, Inc.","14.67","$437.98M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/hrtg",
"HCCI","Heritage-Crystal Clean, Inc.","26.06","$604.08M","2008","Basic Industries","Miscellaneous","https://old.nasdaq.com/symbol/hcci",
"MLHR","Herman Miller, Inc.","45.33","$2.68B","n/a","Consumer Durables","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/mlhr",
"PSV","Hermitage Offshore Services Ltd.","1.38","$27.82M","2014","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/psv",
"HRTX","Heron Therapeutics, Inc.  ","19.41","$1.55B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/hrtx",
"HT","Hersha Hospitality Trust","15.08","$592.2M","1999","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ht",
"HT^C","Hersha Hospitality Trust","25.7","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ht^c",
"HT^D","Hersha Hospitality Trust","25.3036","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ht^d",
"HT^E","Hersha Hospitality Trust","25.64","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ht^e",
"HSY","Hershey Company (The)","153.94","$32.26B","n/a","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/hsy",
"HTZ","Hertz Global Holdings, Inc","13.33","$1.89B","2016","Consumer Services","Rental/Leasing Companies","https://old.nasdaq.com/symbol/htz",
